    [16892185] = {['id']=16892185, ['name']="SurvivalGuide", ['index']=281, ['level']=0},
    [16891908] = {['id']=16891908, ['name']="Stegotaur", ['index']=4, ['level']=48},
    [16891920] = {['id']=16891920, ['name']="Mummy", ['index']=16, ['level']=55},
    [16891925] = {['id']=16891925, ['name']="BlubberEyes", ['index']=21, ['level']=57},
    [16891931] = {['id']=16891931, ['name']="Mummy", ['index']=27, ['level']=55},
    [16891929] = {['id']=16891929, ['name']="Lich", ['index']=25, ['level']=56},
    [16891950] = {['id']=16891950, ['name']="Stegotaur", ['index']=46, ['level']=49},
    [16891947] = {['id']=16891947, ['name']="Utukku", ['index']=43, ['level']=55},
    [16891941] = {['id']=16891941, ['name']="Lich", ['index']=37, ['level']=54},
    [16891961] = {['id']=16891961, ['name']="FomorMonk", ['index']=57, ['level']=55},
    [16891962] = {['id']=16891962, ['name']="FomorRedMage", ['index']=58, ['level']=54},
    [16891963] = {['id']=16891963, ['name']="FomorSamurai", ['index']=59, ['level']=54},
    [16892000] = {['id']=16892000, ['name']="FomorNinja", ['index']=96, ['level']=55},
    [16892003] = {['id']=16892003, ['name']="FomorNinja", ['index']=99, ['level']=56},
    [16891999] = {['id']=16891999, ['name']="FomorDarkKnig", ['index']=95, ['level']=56},
    [16891965] = {['id']=16891965, ['name']="FomorSummoner", ['index']=61, ['level']=54},
    [16891966] = {['id']=16891966, ['name']="Fomor\'sElement", ['index']=62, ['level']=51},
    [16891964] = {['id']=16891964, ['name']="FomorDarkKnig", ['index']=60, ['level']=54},
    [16892002] = {['id']=16892002, ['name']="FomorDarkKnig", ['index']=98, ['level']=55},
    [16892001] = {['id']=16892001, ['name']="FomorRedMage", ['index']=97, ['level']=55},
    [16892004] = {['id']=16892004, ['name']="GreaterGaylas", ['index']=100, ['level']=46},
    [16892007] = {['id']=16892007, ['name']="Fomor\'sBats", ['index']=103, ['level']=51},
    [16892006] = {['id']=16892006, ['name']="FomorBeastmast", ['index']=102, ['level']=56},
    [16892005] = {['id']=16892005, ['name']="FomorPaladin", ['index']=101, ['level']=55},
    [16891998] = {['id']=16891998, ['name']="FomorRedMage", ['index']=94, ['level']=56},
    [16892008] = {['id']=16892008, ['name']="FomorBard", ['index']=104, ['level']=55},
    [16892009] = {['id']=16892009, ['name']="FomorPaladin", ['index']=105, ['level']=56},
    [16892011] = {['id']=16892011, ['name']="Fomor\'sBats", ['index']=107, ['level']=51},
    [16892010] = {['id']=16892010, ['name']="FomorBeastmast", ['index']=106, ['level']=56},
    [16892012] = {['id']=16892012, ['name']="FomorBard", ['index']=108, ['level']=56},
    [16892013] = {['id']=16892013, ['name']="GreaterGaylas", ['index']=109, ['level']=46},
    [16891967] = {['id']=16891967, ['name']="FomorWarrior", ['index']=63, ['level']=56},
    [16891969] = {['id']=16891969, ['name']="FomorPaladin", ['index']=65, ['level']=54},
    [16891968] = {['id']=16891968, ['name']="FomorThief", ['index']=64, ['level']=55},
    [16892030] = {['id']=16892030, ['name']="Teratotaur", ['index']=126, ['level']=58},
    [16892016] = {['id']=16892016, ['name']="FomorSamurai", ['index']=112, ['level']=55},
    [16892017] = {['id']=16892017, ['name']="FomorNinja", ['index']=113, ['level']=56},
    [16892015] = {['id']=16892015, ['name']="FomorMonk", ['index']=111, ['level']=56},
    [16892019] = {['id']=16892019, ['name']="FomorRanger", ['index']=115, ['level']=55},
    [16892021] = {['id']=16892021, ['name']="GreaterGaylas", ['index']=117, ['level']=47},
    [16892020] = {['id']=16892020, ['name']="FomorRedMage", ['index']=116, ['level']=55},
    [16892018] = {['id']=16892018, ['name']="FomorBlackMag", ['index']=114, ['level']=57},
    [16892014] = {['id']=16892014, ['name']="FomorBard", ['index']=110, ['level']=55},
    [16892032] = {['id']=16892032, ['name']="Teratotaur", ['index']=128, ['level']=58},
    [16892031] = {['id']=16892031, ['name']="Teratotaur", ['index']=127, ['level']=57},
    [16892029] = {['id']=16892029, ['name']="Teratotaur", ['index']=125, ['level']=57},
    [16892042] = {['id']=16892042, ['name']="Teratotaur", ['index']=138, ['level']=58},
    [16892089] = {['id']=16892089, ['name']="AqueductSpider", ['index']=185, ['level']=86},
    [16892090] = {['id']=16892090, ['name']="AqueductSpider", ['index']=186, ['level']=84},
